guid,Retrofit_Cost
e3734e61-5086-4efb-9a35-70b91838c635,149194.71
d3339d1b-1a6b-42e0-b5b9-6001958ba0ab,86043.51
548ee528-1e48-48cb-9b05-9f8771326a2d,108710.28
25823b9b-e4ed-4d20-a1c4-38583953f744,215954.55
d7b80dd4-9c64-4a8d-88d1-873866271b38,223315.03
a33d71b4-94f1-4784-8794-f9e4b226a7fd,579652.12
8a4ae47e-a70c-473c-9d20-5a34b3d5060a,193400.55
65cc5810-cd8b-4246-97d4-fa47af9c9ff5,45473.16
5917b050-bee2-4fe5-b629-4230da70ec6a,223284.6
11d4c0f5-cee1-412f-a70e-fe934dd1996d,30447.9
2a06d31c-19c3-454d-854a-9b2496dfca78,229148.64
a1316035-383e-4964-b573-e40ff584687b,129885.98
4ab36ab4-5784-4514-b050-fffdad2e6bcf,202083.84
6f6e5490-2fe3-4567-954d-c171426aa562,108371.97
e15c40ec-1f22-405c-b258-b0db6b771b91,182284.65
75e8b859-ca21-4cce-add2-1f376bcf0a3c,178965.99
b025eda2-69c9-42ed-bcbe-552c5cc06cb0,198926.28
5b232bd4-c376-4385-9630-66ac72cb0546,83224.26
488a93b9-d61b-4448-996e-6ab9fe6e43dc,143217.9
a019a0cd-c623-4389-a793-57a565bff34d,100703.61
c556dcd2-eea8-4ad8-8fdb-ed78f1749205,211105.44
834c6cf7-8575-43a9-bfb6-c8c7a7e7de76,36311.94
d01d37db-e221-4340-81a8-c884d433029e,277414.2
ced0d117-cdd3-4d34-abc4-e5dd1ff932c3,166899.6
9d1e5163-0a3f-43a4-a158-e0b330743735,163403.73
9aaab016-bbfd-4065-93f9-1a7cb1225276,176372.28
0e410b51-d19e-4cb9-9932-3ca8dc7337e4,176372.28
2ea4e8c7-29c4-4405-9545-23dd3c23c751,116265.87
e604d180-4c1a-4f06-8790-c39963a7e5c5,487137.76
99735c48-0aca-4912-b001-dd1e28ebc6fc,469348.74
89427109-0654-4cc2-a55c-8b11245d5375,111529.53
dce3073a-aaaf-4e6d-b185-46e003405a4c,118070.19
307d6af0-f73a-44b4-ab2d-6985861aeb41,87735.06
46711f44-ff53-40f9-897f-c5a09c483096,209864.97
da862ca7-8349-4a3f-a756-224749193d3c,198587.97
f60418e0-6e9c-458b-9263-b669ae30afd4,234448.83
4a6520c7-af83-4ae7-b988-6602feb33e86,121566.06
42471be0-8411-487f-8d75-5560806d99ec,108597.51
a54329d5-1bda-40d8-9f9f-7c7a9d2a553d,143330.67
3a9e7892-536d-44e5-a7c6-7ddaa21d349d,185732.19
de3cb988-002f-4fcc-b025-a6864004f26d,185055.57
4da4cc68-dbba-43d8-99a0-1adf97bd5b90,172989.18
2ba95242-3f31-472b-92cb-8711428fc6f8,62925.66
1c48ff99-4019-4f88-be06-f981f7e16039,97320.51
45219b86-c53c-41d2-a7cc-bf87e49cb80f,52438.05
3977ac08-9c5a-4716-b52f-15cc62399688,309328.11
aee10702-3700-43d9-b4cf-cc07c12d05ad,159682.32
d5573060-c3a6-4875-a0ed-c49e861e1401,160810.02
93141aeb-9f6b-4fbb-ab2d-f617fd8e1ac5,147390.39
e7ef26bf-bfcb-40ed-b9cc-135acfd4b8c8,507652.95
b7250bd7-4160-4f49-9982-a2f68e8b9018,155622.6
ed0d8fd1-8e97-4db8-990e-19906b314438,190242.99
79cb0e04-e3bc-4fd9-a54e-c2fcb3583743,121340.52
5972f9b0-47ef-4ce8-b192-7b6ad12d7c61,221818.59
04847075-493c-4105-876f-c5e935bf8156,80517.78
c128dc11-3546-4ac0-a153-1272c5e82e32,48378.33
fc079fa8-3fb0-40a6-b695-fe268d085309,29320.2
7929b8ec-3005-4007-b298-b16b38e20970,85254.12
3278e990-3f76-49f8-ad34-52d1fa9b1f00,30447.9
a06a2403-25e1-4a77-9319-32fdca2d42d5,160246.17
7173c6f9-15e2-49d5-b017-d1202dfeb1b6,409389.11
