struct_typ,guid,retrofit_cost
URMM,5fc41f26-2c58-4eff-91f3-7144b4c6a6d8,369384.23
URML,df811d4a-d623-4806-be97-ebabde6f1ea7,366411.23
URML,56861714-1fb6-4f4c-a08d-38010ce692f1,364979.23
URML,dc727862-138c-426a-96ec-5269423b9e9a,364582.23
URML,4d6bbfc2-362b-4e36-a150-5d9668481d44,363642.23
URML,c989789c-8ea8-4ab9-86de-f786856e6381,362847.23
URML,f0bc41fb-fd8d-4aff-8777-5d539db9699f,361653.23
URMM,c0a25294-5e44-4c8b-9145-f2e49588237b,361277.23
URMM,d4808cd9-b240-4b68-90e2-c188cd30f98f,360293.23
URML,3df7e2f7-8dc6-42ef-90dc-746fe5d90c57,359737.23
URML,7ecf5d0e-b4cd-49ae-aeb2-0e6a75d5a623,358370.23
URML,fe53b596-82b3-4bb1-9ed7-4b766e25817d,357574.23
URMM,2c259cd9-ce8f-4f8e-92bd-60efbb3bad92,353709.23
URMM,60404ca4-f811-4496-8bc8-8a41dcfbd63e,349068.23
URMM,d19fd875-30ac-4f77-9f77-fe082ad92611,348272.23
URML,bc6b00f7-f9f6-4304-be34-ec17133426b7,346890.23
URML,bfcd8208-b2e1-4aea-b62c-67fa51d1b654,346375.23
URMM,9155070b-40de-42a3-a0f6-347c29ea693c,344152.23
URML,d2afeae9-d1b6-4796-91ef-a9707e07ab14,333985.23
URML,8d68d500-9a3a-49f1-b637-a140afe620a0,330231.23
URML,984d60eb-4eae-49b9-95d1-3405a2c6a366,324438.23
URML,661d9fa2-d9d2-459c-80dd-4cfa50a53bb6,323723.23
URML,efd86d59-bd5d-4a80-bf99-4a59d707213b,322133.23
URML,2c9b59f1-e393-4a5b-8cef-d2f302acdb94,321421.23
URMM,55736188-4f22-4fa9-9eca-f04e00bc0780,321110.23
URML,2156f591-021b-474f-98e9-0d2081bb8232,320392.23
URML,6f070513-4df4-4a31-8eeb-27b0134c086f,319830.23
URML,bf175ed5-e460-420a-a0dd-8f7c805c4e5d,318907.23
URML,7a2ed069-7a6a-404e-be36-a0993c5bb853,318239.23
URML,93dbe44d-3461-4078-b2f5-c14e56e9e805,317208.23
URML,60116bf9-7e36-4e96-b6f3-b590f1846408,312293.23
