guid,Retrofit_Cost
bfcdd490-d600-4789-bfef-2c67d5e62252,28776.23
4695ae77-3b6d-4752-a56b-aa391d9678d6,21560.23
61ca54f8-6666-4ed1-b350-f322ce477eea,90371.23
24d19444-424f-4330-8c9b-9446e12840df,15419.23
7b3ff386-d303-46c3-9ab3-22faa29cc643,44340.23
e3b61d27-ec04-42d3-8a46-b4ff411d449d,18551.23
8879636b-2ef8-4441-8fa6-708435de920c,44750.23
251cef4a-c328-4366-aa9a-3347212bf98e,70318.23
ca72a795-341e-4a3f-9503-85a938efcf11,44750.23
ea4f205a-ea6e-4762-b323-3b2da235e82d,52993.23
a144fde3-0af9-4bb0-923b-8b87f1c3c209,43016.23
8525147f-6a76-485a-83c1-3e4226b3aa18,52052.23
8b0b5d03-1850-4cb6-9838-89552ae2129f,50318.23
f1ec2096-a36b-46ac-bf3c-f6863e581724,40629.23
43ae86f9-5e02-42bf-ba97-b9fc41f4df8c,45402.23
e9f23dc7-37ba-4807-8df2-b35f64da1c3a,57158.23
16a70ec2-044a-4093-b094-0a47e2219f9f,44750.23
7ec28d2c-9704-4a9d-aea6-2fea93882389,28418.23
ed2e2184-e653-420a-8cb0-ee7ef86d7901,19735.23
0f4b89f2-7fdc-4487-b151-ab18fc5b952c,20612.23
bb46b5b7-057c-480c-b7d6-c457b818f095,311807.23
ecc8f4ab-0600-4089-8651-86b1d630684c,285849.23
02b477cc-1b97-4a8a-b712-55fcb430175a,37482.23
15159d65-5d96-42ef-9a7d-c17d2a2576ee,24464.23
0329a0b1-9a6f-496e-a832-a86912b2f4bf,15636.23
8a3fbe04-211e-41fb-a34f-8641d8c0965e,23970.23
ee2b1d74-47c2-4b7a-8344-1d5c7b125977,23963.23
30448057-5afc-4749-983f-fee7067d1482,19915.23
a0fef8b8-c824-4f5a-8e2f-d6fbcda8328c,26108.23
64a393e0-fe2a-4c02-a58c-180fdd43afe7,57674.23
4d4f239c-729e-4b8e-88c6-ad8ea2d83818,21129.23
853e0a42-c5b9-4fa7-97bc-088006354834,20825.23
1fa6760c-e831-4325-b098-a6db4add0f10,20449.23
f6cd6a2a-c3fe-4380-a664-3bfd9e97c283,15410.23
35305b12-0355-4069-bd94-ea0916cb06fe,18502.23
b1d37046-d3c1-456c-a162-51ec15f67d52,27241.23
92a1f43e-4a3d-4929-ba04-42262692ace6,34899.23
601b861e-8e0f-45f1-9cf1-bb87949f821f,21737.23
e9a5dc2f-da5e-4b17-a764-6d3bd0a058cd,17568.23
1ce79f40-50dc-4490-97f2-2fc1ea291d0d,15397.23
0fddc8fd-371b-464d-9a57-c196150c3a45,13657.23
a70b34f7-b148-4d6f-8596-c11b2c2777a9,27200.23
36482eb5-aea1-4698-8673-fe14d6ece199,37139.23
62ec62cb-9220-455f-bdfd-0c5b036c85ae,23284.23
588cfce8-f00b-4a9e-8430-7510566861d2,21068.23
320aeb2a-0f3f-4a74-bf40-cdbbb5eb6ac3,49417.23
570ee89e-0196-47b9-8eea-1a3f6e925960,24471.23
f8d3cebc-5962-4611-a56f-ddbdba170c63,14127.23
2228a1e4-374d-426c-963f-376f70a8604d,18649.23
70b890de-81f3-4f76-b8c7-23bfeaa069ae,18026.23
67faf250-88a1-40ce-b098-f4d99812a4d6,18108.23
3be4d4c7-a03b-4710-a457-e525b006d034,110875.23
ffe457d0-e3c3-41af-ad9c-aa6db626a027,25237.23
cc955fd6-1c1b-4cab-84a1-2435ed2a351c,23080.23
2cdd0a08-91a7-4745-8aa2-d1aa445f511a,25831.23
fe53b596-82b3-4bb1-9ed7-4b766e25817d,357574.23
e7cd7a59-5681-40b8-b5cd-d7da092472a2,15762.23
7b2a997c-28a7-4d0f-a886-752a037a19ed,19129.23
7b064809-23c8-4321-9b77-511993ae6560,20537.23
39cb6149-c62f-40cf-ae2b-1631c594b902,19919.23
b80c9fde-9cfe-4a40-a8a0-9b26c9d425c5,21649.23
86c656f7-c96d-4f61-913d-062d9c0871f9,75639.23
951307ef-1804-47ed-947b-7d95c78792d6,28972.23
2d27512a-1037-4f10-809d-6c7ab3022bc4,30292.23
103d5bd9-0286-4070-8296-41d71719c951,17925.23
1fa28d2b-ab85-4ac1-a46a-3df23a2418e5,77488.23
93fb5ca9-ea59-4234-a85b-16146ec2ceac,49357.23
9c283267-a207-46fe-b0a5-697df8609124,13756.23
6d796620-97c4-4bc8-a6c4-3fa17a21ec0b,22319.23
5d37a3d6-ff88-4c1b-894d-016dcdbe4392,66208.23
7983d4ff-fc31-43ce-8e9c-dd54aeafba73,78803.23
7af3f3e9-396c-47e4-a0f1-87ad5501e516,31568.23
78b54a31-faa7-46e7-a54f-14d8ab163e87,25857.23
2902409a-21e5-4a08-a13d-7c1037510364,123235.23
8f6d060c-a3a5-4a9d-847c-b3743891f3a7,63380.23
6060d6ac-dae7-44a8-b65e-31fa155ae312,63235.23
fd7a3039-d528-4240-b3b6-638930b67a0e,50699.23
71458bf0-0baa-4628-bfd1-02be773dfeef,51336.23
0b37eb42-712b-4708-b505-a80bd1749dbb,23416.23
0a172142-b6e0-4bcf-ba5e-3ab7023ee4bb,22342.23
65c65b3e-8e08-464c-a06a-caf314e49796,22198.23
73ccbd18-7dbd-4441-a90b-a4596401f513,36270.23
1ff2fab8-87ee-474b-9c62-111c9cdc1998,44704.23
669d2e31-73bb-45b4-913a-812f3b15a3c9,36075.23
49e8c57f-2824-411d-8ca5-01fc74f26771,21370.23
f7eedfa0-7539-4df4-a8ff-1b096d73d597,26938.23
e851f03c-a7a4-42b1-af77-9fa19ccb17b5,16919.23
6bc43991-1775-432f-b6fd-dea392f4e7c7,23553.23
97517292-28bf-434c-9dda-93e8776ee57b,26704.23
bcbd3684-705f-4f97-b225-b7b69ced87fb,135648.23
1f470a01-dd08-437f-a0a6-aa2c20acb101,20471.23
8306f1e8-b65b-487d-ade2-54810313ca57,144294.23
86240e8b-0453-4172-b9dd-3e04d2ba4f4c,46632.23
fa33f7a1-d127-4774-a764-e87eb497a51d,52344.23
f5b751ac-2266-4657-afc5-50f52d9cf65e,31382.23
b5081493-f3f9-4bdb-bed6-a8e7ac8c2ad4,42862.23
972d42fb-d429-4b7a-b37d-229118317575,24025.23
ce091bd4-ed15-452f-8a80-60ee62f1722f,21461.23
e6c74c95-587a-4d94-b1de-cba50501c7a0,25303.23
05002f76-175d-4474-ab94-732a5246c43e,17822.23
11dd75a7-4ba5-458a-8204-c405d83a77cd,15252.23
cdece3a0-29a9-4c30-b776-465eae92d2d7,20467.23
4549be43-343e-40af-9fea-8c38972e3aee,58669.23
c0ecbb85-589d-4db3-affe-9dd34ff39c01,29811.23
f8dd52bb-42af-46c5-a745-3bddd4b76a6c,22514.23
ad5f85a6-970d-4606-892a-026121ee2274,27467.23
60777cbe-88b3-4d14-886e-e7d75d01bd8b,24937.23
c34cb2c3-1d96-4d90-b344-c8ff05cf549e,26528.23
72e97311-20ba-44b2-adcb-89248a303f02,79614.23
6b444143-7fc4-438f-8249-d4a8277c437b,77228.23
2fecbb17-40d3-4f75-ae71-686ae16c3c7e,25739.23
a70458ed-87c1-4849-a059-20b2163f613b,93717.23
ff05b5a9-ae68-467c-a21f-17ce63c2f78d,22850.23
db087944-f2cc-4913-bdc1-e5083efe33e2,28526.23
c5dac25b-33da-4d3b-a22b-e0576e99e970,34493.23
962a7298-f028-4939-b353-a3556ac1593e,23278.23
8cba23b3-58ba-4caf-9c45-ba026514c2dc,27350.23
e13a9f1c-e328-4db9-825f-0b63c8fcd7d8,48011.23
b3013f44-1e82-4794-b5fc-229a14535641,35260.23
17efa3c9-3952-412d-bf92-93e9a2c6e704,40329.23
4e44a3c8-f7f9-479f-8c60-f3d01668dc3b,69612.23
def809a4-1aa2-4027-8a77-3a56c96886dd,52567.23
bcf2d857-91d3-4443-8e74-f28abb9b2119,37656.23
5f0447ec-a3d3-4006-a894-fd7b9290b254,22489.23
